author_name,pos,sample_id,word_list
Lermontov M.Ju.,A,1,целый проливной цветущий летний незримый высокий ночной волнистый гордый угрюмый
Lermontov M.Ju.,A,2,прекрасный старый зеленый тяжелый счастливый усталый простой секретный гуслярный хороший
Lermontov M.Ju.,A,3,отдаленный молодой сырой мрачный пуховой некрасивый большой погибший готовый готовый
Lermontov M.Ju.,A,4,неведомый зыбкий мрачный минутный горячий возможный грозный пасмурный степной чудный
Lermontov M.Ju.,A,5,благодарный верный молодой обычный белый французский нежный невнятный крутой сладкий
Lermontov M.Ju.,A,6,густой столпообразный слышный дряхлый прекрасный дорогой полночный телесный гибельный мучительный
Lermontov M.Ju.,A,7,роковой чудесный немой пустой спаянный смешной смуглый бледный милый женский
Lermontov M.Ju.,A,8,единый напрасный измученный случайный высокий прежний летучий вековечный земной беспечный
Lermontov M.Ju.,A,9,высокий монашеский глупый свежий седой прежний пышный сильный врожденный чуждый
Lermontov M.Ju.,A,10,готовый боевой жестокий святой большой нежный прекрасный вольный юный прелестный
Lermontov M.Ju.,A,11,близкий гремучий царский родной земной могильный прозрачный давнишний обиженный темный
Lermontov M.Ju.,A,12,площадной презренный золотой чудесный вольный бедный царский бесчувственный седой злой
Lermontov M.Ju.,A,13,горький свежий недвижный видный глубокий последний заботливый неизменный полночный женский
Lermontov M.Ju.,A,14,немой страшный яркий вечный кубанский радужный заржавый прозрачный безгласный славный
Lermontov M.Ju.,A,15,земной чуждый настоящий свободный своевольный минувший вековой широкий смешной немой
Lermontov M.Ju.,A,16,орлиный дикий молчаливый розовый бледный красноречивый воздушный прежний демонский речной
Lermontov M.Ju.,A,17,непрочный ничтожный красивый сыпучий родной безумный глубокий вечный нежный ненавистный
Lermontov M.Ju.,A,18,немой правый влюбчивый тяжелый бесчувственный грустный хладный спокойный сырой голубой
Lermontov M.Ju.,A,19,печальный курьерский молодой глубокий мирный бедный страшный ледяный превосходный вечный
Lermontov M.Ju.,A,20,божественный достойный похожий сырой тучный удалой беспечный печальный бледный неприличный
Lermontov M.Ju.,A,21,поганый молодой пьяный молодой людской трепетный прозрачный ночной невыразимый хранительный
Lermontov M.Ju.,A,22,грозный прилежный правый шелковый незнакомый бледный зеленый священный настоящий грозный
Lermontov M.Ju.,A,23,неосторожный родной тайный тяжелый бурный слышный покровенный веселый мусульманский немой
Lermontov M.Ju.,A,24,новый милый морской звучный мертвый немой гордый единый одинокий немой
