id,author_name,word,lemma
12083,Pushkin A.S.,где,где
12083,Pushkin A.S.,наша,наш
12083,Pushkin A.S.,роза,роза
12083,Pushkin A.S.,друзья,друг
12083,Pushkin A.S.,мои,мой
12083,Pushkin A.S.,увяла,увянуть
12083,Pushkin A.S.,роза,роза
12083,Pushkin A.S.,дитя,дитя
12083,Pushkin A.S.,зари,заря
12083,Pushkin A.S.,не,не
12083,Pushkin A.S.,говори,говорить
12083,Pushkin A.S.,так,так
12083,Pushkin A.S.,вянет,вянуть
12083,Pushkin A.S.,младость,младость
12083,Pushkin A.S.,не,не
12083,Pushkin A.S.,говори,говорить
12083,Pushkin A.S.,вот,вот
12083,Pushkin A.S.,жизни,жизнь
12083,Pushkin A.S.,радость,радость
12083,Pushkin A.S.,цветку,цветок
12083,Pushkin A.S.,скажи,сказать
12083,Pushkin A.S.,прости,прощать
12083,Pushkin A.S.,жалею,жалеть
12083,Pushkin A.S.,и,и
12083,Pushkin A.S.,на,на
12083,Pushkin A.S.,лилею,лилея
12083,Pushkin A.S.,нам,мы
12083,Pushkin A.S.,укажи,указывать
12085,Pushkin A.S.,слыхали,слыхать
12085,Pushkin A.S.,ль,ль
12085,Pushkin A.S.,вы,вы
12085,Pushkin A.S.,за,за
12085,Pushkin A.S.,рощей,роща
12085,Pushkin A.S.,глас,глас
12085,Pushkin A.S.,ночной,ночной
12085,Pushkin A.S.,певца,певец
12085,Pushkin A.S.,любви,любовь
12085,Pushkin A.S.,певца,певец
12085,Pushkin A.S.,своей,свой
12085,Pushkin A.S.,печали,печаль
12085,Pushkin A.S.,когда,когда
12085,Pushkin A.S.,поля,поле
12085,Pushkin A.S.,в,в
12085,Pushkin A.S.,час,час
12085,Pushkin A.S.,утренний,утренний
12085,Pushkin A.S.,молчали,молчать
12085,Pushkin A.S.,свирели,свирель
12085,Pushkin A.S.,звук,звук
12085,Pushkin A.S.,унылый,унылый
12085,Pushkin A.S.,и,и
12085,Pushkin A.S.,простой,простой
12085,Pushkin A.S.,слыхали,слыхать
12085,Pushkin A.S.,ль,ль
12085,Pushkin A.S.,вы,вы
12085,Pushkin A.S.,встречали,встречать
12085,Pushkin A.S.,ль,ль
12085,Pushkin A.S.,вы,вы
12085,Pushkin A.S.,в,в
12085,Pushkin A.S.,пустынной,пустынный
12085,Pushkin A.S.,тьме,тьма
12085,Pushkin A.S.,лесной,лесна
12085,Pushkin A.S.,певца,певец
12085,Pushkin A.S.,любви,любовь
12085,Pushkin A.S.,певца,певец
12085,Pushkin A.S.,своей,свой
12085,Pushkin A.S.,печали,печаль
12085,Pushkin A.S.,следы,след
12085,Pushkin A.S.,ли,ли
12085,Pushkin A.S.,слез,слезать
12085,Pushkin A.S.,улыбку,улыбка
12085,Pushkin A.S.,ль,ль
12085,Pushkin A.S.,замечали,замечать
12085,Pushkin A.S.,иль,иль
12085,Pushkin A.S.,тихий,тихий
12085,Pushkin A.S.,взор,взор
12085,Pushkin A.S.,исполненный,исполнять
12085,Pushkin A.S.,тоской,тоска
12085,Pushkin A.S.,встречали,встречать
12085,Pushkin A.S.,вы,вы
12085,Pushkin A.S.,вздохнули,вздыхать
12085,Pushkin A.S.,ль,ль
12085,Pushkin A.S.,вы,вы
12085,Pushkin A.S.,внимая,внимать
12085,Pushkin A.S.,тихой,тихий
12085,Pushkin A.S.,глас,глас
12085,Pushkin A.S.,певца,певец
12085,Pushkin A.S.,любви,любовь
12085,Pushkin A.S.,певца,певец
12085,Pushkin A.S.,своей,свой
12085,Pushkin A.S.,печали,печаль
12085,Pushkin A.S.,когда,когда
12085,Pushkin A.S.,в,в
12085,Pushkin A.S.,лесах,лес
12085,Pushkin A.S.,вы,вы
12085,Pushkin A.S.,юношу,юноша
12085,Pushkin A.S.,видали,видать
12085,Pushkin A.S.,встречая,встречать
12085,Pushkin A.S.,взор,взор
12085,Pushkin A.S.,его,он
12085,Pushkin A.S.,потухших,потухать
12085,Pushkin A.S.,глаз,глаз
12085,Pushkin A.S.,вздохнули,вздыхать
12085,Pushkin A.S.,ль,ль
12085,Pushkin A.S.,вы,вы
12036,Pushkin A.S.,медлительно,медлительно
12036,Pushkin A.S.,влекутся,влечься
12036,Pushkin A.S.,дни,день
12036,Pushkin A.S.,мои,мой
12036,Pushkin A.S.,и,и
12036,Pushkin A.S.,каждый,каждый
12036,Pushkin A.S.,миг,миг
12036,Pushkin A.S.,в,в
12036,Pushkin A.S.,унылом,унылый
12036,Pushkin A.S.,сердце,сердце
12036,Pushkin A.S.,множит,множить
12036,Pushkin A.S.,все,все
12036,Pushkin A.S.,горести,горесть
12036,Pushkin A.S.,несчастливой,несчастливый
12036,Pushkin A.S.,любви,любовь
12036,Pushkin A.S.,и,и
12036,Pushkin A.S.,все,все
12036,Pushkin A.S.,мечты,мечта
12036,Pushkin A.S.,безумия,безумие
12036,Pushkin A.S.,тревожит,тревожить
12036,Pushkin A.S.,но,но
12036,Pushkin A.S.,я,я
12036,Pushkin A.S.,молчу,молчать
12036,Pushkin A.S.,не,не
12036,Pushkin A.S.,слышен,слышный
12036,Pushkin A.S.,ропот,ропот
12036,Pushkin A.S.,мой,мой
12036,Pushkin A.S.,я,я
12036,Pushkin A.S.,слезы,слеза
12036,Pushkin A.S.,лью,лить
12036,Pushkin A.S.,мне,я
12036,Pushkin A.S.,слезы,слеза
12036,Pushkin A.S.,утешенье,утешение
12036,Pushkin A.S.,моя,мой
12036,Pushkin A.S.,душа,душа
12036,Pushkin A.S.,плененная,пленять
12036,Pushkin A.S.,тоской,тоска
12036,Pushkin A.S.,в,в
12036,Pushkin A.S.,них,они
12036,Pushkin A.S.,горькое,горький
12036,Pushkin A.S.,находит,находить
12036,Pushkin A.S.,наслажденье,наслаждение
12036,Pushkin A.S.,о,о
12036,Pushkin A.S.,жизни,жизнь
12036,Pushkin A.S.,час,час
12036,Pushkin A.S.,лети,лететь
12036,Pushkin A.S.,не,не
12036,Pushkin A.S.,жаль,жаль
12036,Pushkin A.S.,тебя,ты
12036,Pushkin A.S.,исчезни,исчезать
12036,Pushkin A.S.,в,в
12036,Pushkin A.S.,тьме,тьма
12036,Pushkin A.S.,пустое,пустой
12036,Pushkin A.S.,привиденье,привидение
12036,Pushkin A.S.,мне,я
12036,Pushkin A.S.,дорого,дорого
12036,Pushkin A.S.,любви,любовь
12036,Pushkin A.S.,моей,мой
12036,Pushkin A.S.,мученье,мучение
12036,Pushkin A.S.,пускай,пускай
12036,Pushkin A.S.,умру,умирать
12036,Pushkin A.S.,но,но
12036,Pushkin A.S.,пусть,пусть
12036,Pushkin A.S.,умру,умирать
12036,Pushkin A.S.,любя,любить
12105,Pushkin A.S.,беги,бежать
12105,Pushkin A.S.,сокройся,сокрыться
12105,Pushkin A.S.,от,от
12105,Pushkin A.S.,очей,око
12105,Pushkin A.S.,цитеры,цитера
12105,Pushkin A.S.,слабая,слабый
12105,Pushkin A.S.,царица,царица
12105,Pushkin A.S.,где,где
12105,Pushkin A.S.,ты,ты
12105,Pushkin A.S.,где,где
12105,Pushkin A.S.,ты,ты
