;id;note;text_final;author;header;text_raw
1;12083;ok;"Где наша роза, 
 Друзья мои? 
 Увяла роза, 
 Дитя зари. 
 Не говори: 
 Так вянет младость! 
 Не говори: 
 Вот жизни радость! 
 Цветку скажи: 
 Прости, жалею! 
 И на лилею 
 Нам укажи.


";А. С. Пушкин;Роза : «Где наша роза...»;"Где наша роза, 
 Друзья мои? 
 Увяла роза, 
 Дитя зари. 
 Не говори: 
 Так вянет младость! 
 Не говори: 
 Вот жизни радость! 
 Цветку скажи: 
 Прости, жалею! 
 И на лилею 
 Нам укажи.


"
2;12085;ok;"Слыхали ль вы за рощей глас ночной 
 Певца любви, певца своей печали? 
 Когда поля в час утренний молчали, 
 Свирели звук унылый и простой 
 Слыхали ль вы?


Встречали ль вы в пустынной тьме лесной 
 Певца любви, певца своей печали? 
 Следы ли слез, улыбку ль замечали, 
 Иль тихий взор, исполненный тоской, 
 Встречали вы?


Вздохнули ль вы, внимая тихой глас 
 Певца любви, певца своей печали? 
 Когда в лесах вы юношу видали; 
 Встречая взор его потухших глаз, 
 Вздохнули ль вы?


";А. С. Пушкин;Певец : «Слыхали ль вы за рощей глас ночной...»;"Слыхали ль вы за рощей глас ночной 
 Певца любви, певца своей печали? 
 Когда поля в час утренний молчали, 
 Свирели звук унылый и простой 
 Слыхали ль вы?


Встречали ль вы в пустынной тьме лесной 
 Певца любви, певца своей печали? 
 Следы ли слез, улыбку ль замечали, 
 Иль тихий взор, исполненный тоской, 
 Встречали вы?


Вздохнули ль вы, внимая тихой глас 
 Певца любви, певца своей печали? 
 Когда в лесах вы юношу видали; 
 Встречая взор его потухших глаз, 
 Вздохнули ль вы?


"
3;12036;ok;"Медлительно влекутся дни мои, 
 И каждый миг в унылом сердце множит 
 Все горести несчастливой любви 
 И все мечты безумия тревожит. 
 Но я молчу; не слышен ропот мой; 
 Я слезы лью; мне слезы утешенье; 
 Моя душа, плененная тоской, 
 В них горькое находит наслажденье. 
 О жизни час! лети, не жаль тебя, 
 Исчезни в тьме, пустое привиденье; 
 Мне дорого любви моей мученье -- 
 Пускай умру, но пусть умру любя!


";А. С. Пушкин;Желание : «Медлительно влекутся дни мои...»;"Медлительно влекутся дни мои, 
 И каждый миг в унылом сердце множит 
 Все горести несчастливой любви 
 И все мечты безумия тревожит. 
 Но я молчу; не слышен ропот мой; 
 Я слезы лью; мне слезы утешенье; 
 Моя душа, плененная тоской, 
 В них горькое находит наслажденье. 
 О жизни час! лети, не жаль тебя, 
 Исчезни в тьме, пустое привиденье; 
 Мне дорого любви моей мученье -- 
 Пускай умру, но пусть умру любя!


"
4;12105;ok;"Беги, сокройся от очей, 
 Цитеры слабая царица! 
 Где ты, где ты, гроза царей, 
 Свободы гордая певица? -- 
 Приди, сорви с меня венок, 
 Разбей изнеженную лиру... 
 Хочу воспеть Свободу миру, 
 На тронах поразить порок.


Открой мне благородный след 
 Того возвышенного галла, 
 Кому сама средь славных бед 
 Ты гимны смелые внушала. 
 Питомцы ветреной Судьбы, 
 Тираны мира! трепещите! 
 А вы, мужайтесь и внемлите, 
 Восстаньте, падшие рабы!


Увы! куда ни брошу взор -- 
 Везде бичи, везде железы, 
 Законов гибельный позор, 
 Неволи немощные слезы; 
 Везде неправедная Власть 
 В сгущенной мгле предрассуждений 
 Воссела -- Рабства грозный Гений 
 И Славы роковая страсть.


Лишь там над царскою главой 
 Народов не легло страданье, 
 Где крепко с Вольностью святой 
 Законов мощных сочетанье; 
 Где всем простерт их твердый щит, 
 Где сжатый верными руками 
 Граждан над равными главами 
 Их меч без выбора скользит


И преступленье с высока 
 Сражает праведным размахом; 
 Где не подкупна их рука 
 Ни алчной скупостью, ни страхом. 
 Владыки! вам венец и трон 
 Дает Закон -- а не природа; 
 Стоите выше вы народа, 
 Но вечный выше вас Закон.


И горе, горе племенам, 
 Где дремлет он неосторожно, 
 Где иль народу иль царям 
 Законом властвовать возможно! 
 Тебя в свидетели зову, 
 О мученик ошибок славных, 
 За предков в шуме бурь недавных 
 Сложивший царскую главу.


Восходит к смерти Людовик 
 В виду безмолвного потомства, 
 Главой развенчанной приник 
 К кровавой плахе Вероломства. 
 Молчит Закон -- народ молчит, 
 Падет преступная секира..... 
 И се -- злодейская порфира 
 На галлах скованных лежит.


Самовластительный Злодей! 
 Тебя, твой трон я ненавижу, 
 Твою погибель, смерть детей 
 С жестокой радостию вижу. 
 Читают на твоем челе 
 Печать проклятия народы, 
 Ты ужас мира, стыд природы, 
 Упрек ты богу на земле.


Когда на мрачную Неву 
 Звезда полуночи сверкает, 
 И беззаботную главу 
 Спокойный сон отягощает, 
 Глядит задумчивый певец 
 На грозно спящий средь тумана 
 Пустынный памятник тирана, 
 Забвенью брошенный дворец --


И слышит Клии страшный глас 
 За сими страшными стенами, 
 Калигуллы последний час 
 Он видит живо пред очами, 
 Он видит -- в лентах и звездах, 
 Вином и злобой упоенны 
 Идут убийцы потаенны, 
 На лицах дерзость, в сердце страх.


Молчит неверный часовой, 
 Опущен молча мост подъемный, 
 Врата отверсты в тьме ночной 
 Рукой предательства наемной.... 
 О стыд! о ужас наших дней! 
 Как звери, вторглись янычары!... 
 Падут бесславные удары... 
 Погиб увенчанный злодей.


И днесь учитесь, о цари: 
 Ни наказанья, ни награды, 
 Ни кров темниц, ни алтари 
 Не верные для вас ограды. 
 Склонитесь первые главой 
 Под сень надежную Закона, 
 И станут вечной стражей трона 
 Народов вольность и покой.


";А. С. Пушкин;Вольность (ода) : «Беги, сокройся от очей...»;"Беги, сокройся от очей, 
 Цитеры слабая царица! 
 Где ты, где ты, гроза царей, 
 Свободы гордая певица? -- 
 Приди, сорви с меня венок, 
 Разбей изнеженную лиру... 
 Хочу воспеть Свободу миру, 
 На тронах поразить порок.


Открой мне благородный след 
 Того возвышенного галла, 
 Кому сама средь славных бед 
 Ты гимны смелые внушала. 
 Питомцы ветреной Судьбы, 
 Тираны мира! трепещите! 
 А вы, мужайтесь и внемлите, 
 Восстаньте, падшие рабы!


Увы! куда ни брошу взор -- 
 Везде бичи, везде железы, 
 Законов гибельный позор, 
 Неволи немощные слезы; 
 Везде неправедная Власть 
 В сгущенной мгле предрассуждений 
 Воссела -- Рабства грозный Гений 
 И Славы роковая страсть.


Лишь там над царскою главой 
 Народов не легло страданье, 
 Где крепко с Вольностью святой 
 Законов мощных сочетанье; 
 Где всем простерт их твердый щит, 
 Где сжатый верными руками 
 Граждан над равными главами 
 Их меч без выбора скользит


И преступленье с высока 
 Сражает праведным размахом; 
 Где не подкупна их рука 
 Ни алчной скупостью, ни страхом. 
 Владыки! вам венец и трон 
 Дает Закон -- а не природа; 
 Стоите выше вы народа, 
 Но вечный выше вас Закон.


И горе, горе племенам, 
 Где дремлет он неосторожно, 
 Где иль народу иль царям 
 Законом властвовать возможно! 
 Тебя в свидетели зову, 
 О мученик ошибок славных, 
 За предков в шуме бурь недавных 
 Сложивший царскую главу.


Восходит к смерти Людовик 
 В виду безмолвного потомства, 
 Главой развенчанной приник 
 К кровавой плахе Вероломства. 
 Молчит Закон -- народ молчит, 
 Падет преступная секира..... 
 И се -- злодейская порфира 
 На галлах скованных лежит.


Самовластительный Злодей! 
 Тебя, твой трон я ненавижу, 
 Твою погибель, смерть детей 
 С жестокой радостию вижу. 
 Читают на твоем челе 
 Печать проклятия народы, 
 Ты ужас мира, стыд природы, 
 Упрек ты богу на земле.


Когда на мрачную Неву 
 Звезда полуночи сверкает, 
 И беззаботную главу 
 Спокойный сон отягощает, 
 Глядит задумчивый певец 
 На грозно спящий средь тумана 
 Пустынный памятник тирана, 
 Забвенью брошенный дворец --


И слышит Клии страшный глас 
 За сими страшными стенами, 
 Калигуллы последний час 
 Он видит живо пред очами, 
 Он видит -- в лентах и звездах, 
 Вином и злобой упоенны 
 Идут убийцы потаенны, 
 На лицах дерзость, в сердце страх.


Молчит неверный часовой, 
 Опущен молча мост подъемный, 
 Врата отверсты в тьме ночной 
 Рукой предательства наемной.... 
 О стыд! о ужас наших дней! 
 Как звери, вторглись янычары!... 
 Падут бесславные удары... 
 Погиб увенчанный злодей.


И днесь учитесь, о цари: 
 Ни наказанья, ни награды, 
 Ни кров темниц, ни алтари 
 Не верные для вас ограды. 
 Склонитесь первые главой 
 Под сень надежную Закона, 
 И станут вечной стражей трона 
 Народов вольность и покой.


"
5;12112;ok;"Когда, к мечтательному миру 
 Стремясь возвышенной душой, 
 Ты держишь на коленях лиру 
 Нетерпеливою рукой; 
 Когда сменяются виденья 
 Перед тобой в волшебной мгле, 
 И быстрый холод вдохновенья 
 Власы подъемлет на челе, -- 
 Ты прав, творишь ты для немногих, 
 Не для завистливых судей, 
 Не для сбирателей убогих 
 Чужих суждений и вестей, 
 Но для друзей таланта строгих, 
 Священной истины друзей. 
 Не всякого полюбит счастье, 
 Не все родились для венцов. 
 Блажен, кто знает сладострастье 
 Высоких мыслей и стихов! 
 Кто наслаждение прекрасным 
 В прекрасный получил удел 
 И твой восторг уразумел 
 Восторгом пламенным и ясным.


";А. С. Пушкин;Жуковскому : «Когда, к мечтательному миру...»;"Когда, к мечтательному миру 
 Стремясь возвышенной душой, 
 Ты держишь на коленях лиру 
 Нетерпеливою рукой; 
 Когда сменяются виденья 
 Перед тобой в волшебной мгле, 
 И быстрый холод вдохновенья 
 Власы подъемлет на челе, -- 
 Ты прав, творишь ты для немногих, 
 Не для завистливых судей, 
 Не для сбирателей убогих 
 Чужих суждений и вестей, 
 Но для друзей таланта строгих, 
 Священной истины друзей. 
 Не всякого полюбит счастье, 
 Не все родились для венцов. 
 Блажен, кто знает сладострастье 
 Высоких мыслей и стихов! 
 Кто наслаждение прекрасным 
 В прекрасный получил удел 
 И твой восторг уразумел 
 Восторгом пламенным и ясным.


"
;;;"В Дориде нравятся и локоны златые,
И бледное лицо, и очи голубые….
Вчера, друзей моих оставя пир ночной,
В ее объятиях я негу пил душой;
Восторги быстрые восторгами сменялись,
Желанья гасли вдруг и снова разгорались;
Я таял; но среди неверной темноты
Другие милые мне виделись черты,
И весь я полон был таинственной печали,
И имя чуждое уста мои шептали.";А. С. Пушкин;Дорида : «В Дориде нравятся и локоны златые…»;
6;12136;ok;"Приветствую тебя, пустынный уголок, 
 Приют спокойствия, трудов и вдохновенья, 
 Где льется дней моих невидимый поток 
 На лоне счастья и забвенья. 
 Я твой -- я променял порочный двор Цирцей, 
 Роскошные пиры, забавы, заблужденья 
 На мирный шум дубров, на тишину полей, 
 На праздность вольную, подругу размышленья.


Я твой -- люблю сей темный сад 
 С его прохладой и цветами, 
 Сей луг, уставленный душистыми скирдами, 
 Где светлые ручьи в кустарниках шумят. 
 Везде передо мной подвижные картины: 
 Здесь вижу двух озер лазурные равнины, 
 Где парус рыбаря белеет иногда, 
 За ними ряд холмов и нивы полосаты, 
 Вдали рассыпанные хаты, 
 На влажных берегах бродящие стада, 
 Овины дымные и мельницы крилаты; 
 Везде следы довольства и труда...


Я здесь, от суетных оков освобожденный, 
 Учуся в Истинне блаженство находить, 
 Свободною душой Закон боготворить, 
 Роптанью не внимать толпы непросвещенной, 
 Участьем отвечать застенчивой Мольбе 
 И не завидывать судьбе 
 Злодея иль глупца -- в величии неправом.


Оракулы веков, здесь вопрошаю вас! 
 В уединеньи величавом 
 Слышнее ваш отрадный глас. 
 Он гонит лени сон угрюмый, 
 К трудам рождает жар во мне, 
 И ваши творческие думы 
 В душевной зреют глубине.


Но мысль ужасная здесь душу омрачает: 
 Среди цветущих нив и гор 
 Друг человечества печально замечает 
 Везде Невежества убийственный Позор. 
 Не видя слез, не внемля стона, 
 На пагубу людей избранное Судьбой, 
 Здесь Барство дикое, без чувства, без закона, 
 Присвоило себе насильственной лозой 
 И труд, и собственность, и время земледельца. 
 Склонясь на чуждый плуг, покорствуя бичам, 
 Здесь Рабство тощее влачится по браздам 
 Неумолимого Владельца. 
 Здесь тягостный ярем до гроба все влекут, 
 Надежд и склонностей в душе питать не смея, 
 Здесь девы юные цветут 
 Для прихоти бесчувственной злодея. 
 Опора милая стареющих отцов, 
 Младые сыновья, товарищи трудов, 
 Из хижины родной идут собой умножить 
 Дворовые толпы измученных рабов. 
 О, если б голос мой умел сердца тревожить! 
 Почто в груди моей горит бесплодный жар, 
 И не дан мне судьбой Витийства грозный дар? 
 Увижу ль, о друзья! народ неугнетенный 
 И Рабство, падшее по манию царя, 
 И над отечеством Свободы просвещенной 
 Взойдет ли наконец прекрасная Заря?


";А. С. Пушкин;Деревня : «Приветствую тебя, пустынный уголок...»;"Приветствую тебя, пустынный уголок, 
 Приют спокойствия, трудов и вдохновенья, 
 Где льется дней моих невидимый поток 
 На лоне счастья и забвенья. 
 Я твой -- я променял порочный двор Цирцей, 
 Роскошные пиры, забавы, заблужденья 
 На мирный шум дубров, на тишину полей, 
 На праздность вольную, подругу размышленья.


Я твой -- люблю сей темный сад 
 С его прохладой и цветами, 
 Сей луг, уставленный душистыми скирдами, 
 Где светлые ручьи в кустарниках шумят. 
 Везде передо мной подвижные картины: 
 Здесь вижу двух озер лазурные равнины, 
 Где парус рыбаря белеет иногда, 
 За ними ряд холмов и нивы полосаты, 
 Вдали рассыпанные хаты, 
 На влажных берегах бродящие стада, 
 Овины дымные и мельницы крилаты; 
 Везде следы довольства и труда...


Я здесь, от суетных оков освобожденный, 
 Учуся в Истинне блаженство находить, 
 Свободною душой Закон боготворить, 
 Роптанью не внимать толпы непросвещенной, 
 Участьем отвечать застенчивой Мольбе 
 И не завидывать судьбе 
 Злодея иль глупца -- в величии неправом.


Оракулы веков, здесь вопрошаю вас! 
 В уединеньи величавом 
 Слышнее ваш отрадный глас. 
 Он гонит лени сон угрюмый, 
 К трудам рождает жар во мне, 
 И ваши творческие думы 
 В душевной зреют глубине.


Но мысль ужасная здесь душу омрачает: 
 Среди цветущих нив и гор 
 Друг человечества печально замечает 
 Везде Невежества убийственный Позор. 
 Не видя слез, не внемля стона, 
 На пагубу людей избранное Судьбой, 
 Здесь Барство дикое, без чувства, без закона, 
 Присвоило себе насильственной лозой 
 И труд, и собственность, и время земледельца. 
 Склонясь на чуждый плуг, покорствуя бичам, 
 Здесь Рабство тощее влачится по браздам 
 Неумолимого Владельца. 
 Здесь тягостный ярем до гроба все влекут, 
 Надежд и склонностей в душе питать не смея, 
 Здесь девы юные цветут 
 Для прихоти бесчувственной злодея. 
 Опора милая стареющих отцов, 
 Младые сыновья, товарищи трудов, 
 Из хижины родной идут собой умножить 
 Дворовые толпы измученных рабов. 
 О, если б голос мой умел сердца тревожить! 
 Почто в груди моей горит бесплодный жар, 
 И не дан мне судьбой Витийства грозный дар? 
 Увижу ль, о друзья! народ неугнетенный 
 И Рабство, падшее по манию царя, 
 И над отечеством Свободы просвещенной 
 Взойдет ли наконец прекрасная Заря?


"
7;12154;ok;"Художник-варвар кистью сонной 
 Картину гения чернит 
 И свой рисунок беззаконный 
 Над ней бессмысленно чертит.


Но краски чуждые, с летами, 
 Спадают ветхой чешуей; 
 Созданье гения пред нами 
 Выходит с прежней красотой.


Так исчезают заблужденья 
 С измученной души моей, 
 И возникают в ней виденья 
 Первоначальных, чистых дней.


";А. С. Пушкин;Возрождение : «Художник-варвар кистью сонной...»;"Художник-варвар кистью сонной 
 Картину гения чернит 
 И свой рисунок беззаконный 
 Над ней бессмысленно чертит.


Но краски чуждые, с летами, 
 Спадают ветхой чешуей; 
 Созданье гения пред нами 
 Выходит с прежней красотой.


Так исчезают заблужденья 
 С измученной души моей, 
 И возникают в ней виденья 
 Первоначальных, чистых дней.


"
8;12182;ok;"Погасло дневное светило; 
 На море синее вечерний пал туман. 
 Шуми, шуми, послушное ветрило, 
 Волнуйся подо мной, угрюмый океан. 
 Я вижу берег отдаленный, 
 Земли полуденной волшебные края; 
 С волненьем и тоской туда стремлюся я, 
 Воспоминаньем упоенный... 
 И чувствую: в очах родились слезы вновь; 
 Душа кипит и замирает; 
 Мечта знакомая вокруг меня летает; 
 Я вспомнил прежних лет безумную любовь, 
 И всё, чем я страдал, и всё, что сердцу мило, 
 Желаний и надежд томительный обман... 
 Шуми, шуми, послушное ветрило, 
 Волнуйся подо мной, угрюмый океан. 
 Лети, корабль, неси меня к пределам дальным 
 По грозной прихоти обманчивых морей, 
 Но только не к брегам печальным 
 Туманной родины моей, 
 Страны, где пламенем страстей 
 Впервые чувства разгарались, 
 Где музы нежные мне тайно улыбались, 
 Где рано в бурях отцвела 
 Моя потерянная младость, 
 Где легкокрылая мне изменила радость 
 И сердце хладное страданью предала. 
 Искатель новых впечатлений, 
 Я вас бежал, отечески края; 
 Я вас бежал, питомцы наслаждений, 
 Минутной младости минутные друзья; 
 И вы, наперсницы порочных заблуждений, 
 Которым без любви я жертвовал собой, 
 Покоем, славою, свободой и душой, 
 И вы забыты мной, изменницы младые, 
 Подруги тайные моей весны златыя, 
 И вы забыты мной... Но прежних сердца ран, 
 Глубоких ран любви, ничто не излечило... 
 Шуми, шуми, послушное ветрило, 
 Волнуйся подо мной, угрюмый океан...


";А. С. Пушкин;«Погасло дневное светило...»;"Погасло дневное светило; 
 На море синее вечерний пал туман. 
 Шуми, шуми, послушное ветрило, 
 Волнуйся подо мной, угрюмый океан. 
 Я вижу берег отдаленный, 
 Земли полуденной волшебные края; 
 С волненьем и тоской туда стремлюся я, 
 Воспоминаньем упоенный... 
 И чувствую: в очах родились слезы вновь; 
 Душа кипит и замирает; 
 Мечта знакомая вокруг меня летает; 
 Я вспомнил прежних лет безумную любовь, 
 И всё, чем я страдал, и всё, что сердцу мило, 
 Желаний и надежд томительный обман... 
 Шуми, шуми, послушное ветрило, 
 Волнуйся подо мной, угрюмый океан. 
 Лети, корабль, неси меня к пределам дальным 
 По грозной прихоти обманчивых морей, 
 Но только не к брегам печальным 
 Туманной родины моей, 
 Страны, где пламенем страстей 
 Впервые чувства разгарались, 
 Где музы нежные мне тайно улыбались, 
 Где рано в бурях отцвела 
 Моя потерянная младость, 
 Где легкокрылая мне изменила радость 
 И сердце хладное страданью предала. 
 Искатель новых впечатлений, 
 Я вас бежал, отечески края; 
 Я вас бежал, питомцы наслаждений, 
 Минутной младости минутные друзья; 
 И вы, наперсницы порочных заблуждений, 
 Которым без любви я жертвовал собой, 
 Покоем, славою, свободой и душой, 
 И вы забыты мной, изменницы младые, 
 Подруги тайные моей весны златыя, 
 И вы забыты мной... Но прежних сердца ран, 
 Глубоких ран любви, ничто не излечило... 
 Шуми, шуми, послушное ветрило, 
 Волнуйся подо мной, угрюмый океан...


"
9;12264;ok;"Сижу за решеткой в темнице сырой. 
 Вскормленный в неволе орел молодой, 
 Мой грустный товарищ, махая крылом, 
 Кровавую пищу клюет под окном,


Клюет, и бросает, и смотрит в окно, 
 Как будто со мною задумал одно. 
 Зовет меня взглядом и криком своим 
 И вымолвить хочет: «Давай, улетим!


Мы вольные птицы; пора, брат, пора! 
 Туда, где за тучей белеет гора, 
 Туда, где синеют морские края, 
 Туда, где гуляем лишь ветер... да я!...»


";А. С. Пушкин;Узник : «Сижу за решеткой в темнице сырой...»;"Сижу за решеткой в темнице сырой. 
 Вскормленный в неволе орел молодой, 
 Мой грустный товарищ, махая крылом, 
 Кровавую пищу клюет под окном,


Клюет, и бросает, и смотрит в окно, 
 Как будто со мною задумал одно. 
 Зовет меня взглядом и криком своим 
 И вымолвить хочет: «Давай, улетим!


Мы вольные птицы; пора, брат, пора! 
 Туда, где за тучей белеет гора, 
 Туда, где синеют морские края, 
 Туда, где гуляем лишь ветер... да я!...»


"
10;12275;ok;"Мой голос для тебя и ласковый и томный 
 Тревожит поздное молчанье ночи темной. 
 Близ ложа моего печальная свеча 
 Горит; мои стихи, сливаясь и журча, 
 Текут, ручьи любви; текут полны тобою. 
 Во тьме твои глаза блистают предо мною, 
 Мне улыбаются -- и звуки слышу я: 
 Мой друг, мой нежный друг... люблю... твоя... твоя!..


";А. С. Пушкин;Ночь : «Мой голос для тебя и ласковый и томный...»;"Мой голос для тебя и ласковый и томный 
 Тревожит поздное молчанье ночи темной. 
 Близ ложа моего печальная свеча 
 Горит; мои стихи, сливаясь и журча, 
 Текут, ручьи любви; текут полны тобою. 
 Во тьме твои глаза блистают предо мною, 
 Мне улыбаются -- и звуки слышу я: 
 Мой друг, мой нежный друг... люблю... твоя... твоя!..


"
11;12302;ok;"Прощай, свободная стихия! 
 В последний раз передо мной 
 Ты катишь волны голубые 
 И блещешь гордою красой.


Как друга ропот заунывный, 
 Как зов его в прощальный час, 
 Твой грустный шум, твой шум призывный 
 Услышал я в последний раз.


Моей души предел желанный! 
 Как часто по брегам твоим 
 Бродил я тихий и туманный, 
 Заветным умыслом томим!


Как я любил твои отзывы, 
 Глухие звуки, бездны глас 
 И тишину в вечерний час, 
 И своенравные порывы!


Смиренный парус рыбарей, 
 Твоею прихотью хранимый, 
 Скользит отважно средь зыбей: 
 Но ты взыграл, неодолимый, 
 И стая тонет кораблей.


Не удалось навек оставить 
 Мне скучный, неподвижный брег, 
 Тебя восторгами поздравить 
 И по хребтам твоим направить 
 Мой поэтической побег!


Ты ждал, ты звал... я был окован; 
 Вотще рвалась душа моя: 
 Могучей страстью очарован, 
 У берегов остался я...


О чем жалеть? Куда бы ныне 
 Я путь беспечный устремил? 
 Один предмет в твоей пустыне 
 Мою бы душу поразил.


Одна скала, гробница славы... 
 Там погружались в хладный сон 
 Воспоминанья величавы: 
 Там угасал Наполеон.


Там он почил среди мучений. 
 И вслед за ним, как бури шум, 
 Другой от нас умчался гений, 
 Другой властитель наших дум.


Исчез, оплаканный свободой, 
 Оставя миру свой венец. 
 Шуми, взволнуйся непогодой: 
 Он был, о море, твой певец.


Твой образ был на нем означен, 
 Он духом создан был твоим: 
 Как ты, могущ, глубок и мрачен, 
 Как ты, ничем неукротим.


Мир опустел... Теперь куда же 
 Меня б ты вынес, океан? 
 Судьба людей повсюду та же: 
 Где благо, там уже на страже 
 Иль просвещенье, иль тиран.


Прощай же, море! Не забуду 
 Твоей торжественной красы 
 И долго, долго слышать буду 
 Твой гул в вечерние часы.


В леса, в пустыни молчаливы 
 Перенесу, тобою полн, 
 Твои скалы, твои заливы, 
 И блеск, и тень, и говор волн.


";А. С. Пушкин;К морю : «Прощай, свободная стихия!..»;"Прощай, свободная стихия! 
 В последний раз передо мной 
 Ты катишь волны голубые 
 И блещешь гордою красой.


Как друга ропот заунывный, 
 Как зов его в прощальный час, 
 Твой грустный шум, твой шум призывный 
 Услышал я в последний раз.


Моей души предел желанный! 
 Как часто по брегам твоим 
 Бродил я тихий и туманный, 
 Заветным умыслом томим!


Как я любил твои отзывы, 
 Глухие звуки, бездны глас 
 И тишину в вечерний час, 
 И своенравные порывы!


Смиренный парус рыбарей, 
 Твоею прихотью хранимый, 
 Скользит отважно средь зыбей: 
 Но ты взыграл, неодолимый, 
 И стая тонет кораблей.


Не удалось навек оставить 
 Мне скучный, неподвижный брег, 
 Тебя восторгами поздравить 
 И по хребтам твоим направить 
 Мой поэтической побег!


Ты ждал, ты звал... я был окован; 
 Вотще рвалась душа моя: 
 Могучей страстью очарован, 
 У берегов остался я...


О чем жалеть? Куда бы ныне 
 Я путь беспечный устремил? 
 Один предмет в твоей пустыне 
 Мою бы душу поразил.


Одна скала, гробница славы... 
 Там погружались в хладный сон 
 Воспоминанья величавы: 
 Там угасал Наполеон.


Там он почил среди мучений. 
 И вслед за ним, как бури шум, 
 Другой от нас умчался гений, 
 Другой властитель наших дум.


Исчез, оплаканный свободой, 
 Оставя миру свой венец. 
 Шуми, взволнуйся непогодой: 
 Он был, о море, твой певец.


Твой образ был на нем означен, 
 Он духом создан был твоим: 
 Как ты, могущ, глубок и мрачен, 
 Как ты, ничем неукротим.


Мир опустел... Теперь куда же 
 Меня б ты вынес, океан? 
 Судьба людей повсюду та же: 
 Где благо, там уже на страже 
 Иль просвещенье, иль тиран.


Прощай же, море! Не забуду 
 Твоей торжественной красы 
 И долго, долго слышать буду 
 Твой гул в вечерние часы.


В леса, в пустыни молчаливы 
 Перенесу, тобою полн, 
 Твои скалы, твои заливы, 
 И блеск, и тень, и говор волн.


"
12;12360;ok;"Я помню чудное мгновенье: 
 Передо мной явилась ты, 
 Как мимолетное виденье, 
 Как гений чистой красоты.


В томленьях грусти безнадежной, 
 В тревогах шумной суеты, 
 Звучал мне долго голос нежный, 
 И снились милые черты.


Шли годы. Бурь порыв мятежный 
 Рассеял прежние мечты, 
 И я забыл твой голос нежный, 
 Твои небесные черты.


В глуши, во мраке заточенья 
 Тянулись тихо дни мои 
 Без божества, без вдохновенья, 
 Без слез, без жизни, без любви.


Душе настало пробужденье: 
 И вот опять явилась ты, 
 Как мимолетное виденье, 
 Как гений чистой красоты.


И сердце бьется в упоенье, 
 И для него воскресли вновь 
 И божество и вдохновенье, 
 И жизнь, и слезы, и любовь.


";А. С. Пушкин;К*** (Керн) : «Я помню чудное мгновенье...»;"Я помню чудное мгновенье: 
 Передо мной явилась ты, 
 Как мимолетное виденье, 
 Как гений чистой красоты.


В томленьях грусти безнадежной, 
 В тревогах шумной суеты, 
 Звучал мне долго голос нежный, 
 И снились милые черты.


Шли годы. Бурь порыв мятежный 
 Рассеял прежние мечты, 
 И я забыл твой голос нежный, 
 Твои небесные черты.


В глуши, во мраке заточенья 
 Тянулись тихо дни мои 
 Без божества, без вдохновенья, 
 Без слез, без жизни, без любви.


Душе настало пробужденье: 
 И вот опять явилась ты, 
 Как мимолетное виденье, 
 Как гений чистой красоты.


И сердце бьется в упоенье, 
 И для него воскресли вновь 
 И божество и вдохновенье, 
 И жизнь, и слезы, и любовь.


"
13;12459;ok;"Духовной жаждою томим, 
 В пустыне мрачной я влачился, -- 
 И шестикрылый серафим 
 На перепутьи мне явился. 
 Перстами легкими как сон 
 Моих зениц коснулся он. 
 Отверзлись вещие зеницы, 
 Как у испуганной орлицы. 
 Моих ушей коснулся он, -- 
 И их наполнил шум и звон: 
 И внял я неба содроганье, 
 И горний ангелов полет, 
 И гад морских подводный ход, 
 И дольней лозы прозябанье. 
 И он к устам моим приник, 
 И вырвал грешный мой язык, 
 И празднословный, и лукавый, 
 И жало мудрыя змеи 
 В уста замершие мои 
 Вложил десницею кровавой. 
 И он мне грудь рассек мечом, 
 И сердце трепетное вынул 
 И угль, пылающий огнем, 
 Во грудь отверстую водвинул. 
 Как труп в пустыне я лежал, 
 И бога глас ко мне воззвал: 
 «Восстань, пророк, и виждь, и внемли, 
 Исполнись волею моей, 
 И, обходя моря и земли, 
 Глаголом жги сердца людей».


";А. С. Пушкин;Пророк : «Духовной жаждою томим...»;"Духовной жаждою томим, 
 В пустыне мрачной я влачился, -- 
 И шестикрылый серафим 
 На перепутьи мне явился. 
 Перстами легкими как сон 
 Моих зениц коснулся он. 
 Отверзлись вещие зеницы, 
 Как у испуганной орлицы. 
 Моих ушей коснулся он, -- 
 И их наполнил шум и звон: 
 И внял я неба содроганье, 
 И горний ангелов полет, 
 И гад морских подводный ход, 
 И дольней лозы прозябанье. 
 И он к устам моим приник, 
 И вырвал грешный мой язык, 
 И празднословный, и лукавый, 
 И жало мудрыя змеи 
 В уста замершие мои 
 Вложил десницею кровавой. 
 И он мне грудь рассек мечом, 
 И сердце трепетное вынул 
 И угль, пылающий огнем, 
 Во грудь отверстую водвинул. 
 Как труп в пустыне я лежал, 
 И бога глас ко мне воззвал: 
 «Восстань, пророк, и виждь, и внемли, 
 Исполнись волею моей, 
 И, обходя моря и земли, 
 Глаголом жги сердца людей».


"
